Frequency,AveTime,MedianTime
0,7.225000007338167e-06,1.8000000636675395e-06
1,3.0650000155674206e-06,2.200000039920269e-06
2,1.0190000000420697e-05,6.900000016685226e-06
3,1.1645000000726213e-05,9.399999953529914e-06
4,4.0829999983316155e-05,3.734999995685939e-05
5,0.00017572000000996014,0.00015450000000782893
6,0.0008105350000050749,0.000773750000007567
7,0.0037443949999953928,0.003742700000032073
8,0.015775359999997816,0.01574599999997872
9,0.05425084999997694,0.053838600000005954
10,0.27641258000000446,0.2632777000000033
